external_id,location:1,metadata:diaSourceId
528388351591407,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/528388351591407.png,528388351591407
9733336490575000,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/9733336490575000.png,9733336490575000
9707684798399709,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/9707684798399709.png,9707684798399709
802516786741799,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/802516786741799.png,802516786741799
7702701722829738,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7702701722829738.png,7702701722829738
8458646031697035,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8458646031697035.png,8458646031697035
7690632864729123,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7690632864729123.png,7690632864729123
8444951528473714,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8444951528473714.png,8444951528473714
8459466370450840,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8459466370450840.png,8459466370450840
7699173407195967,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7699173407195967.png,7699173407195967
12601616582574590,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/12601616582574590.png,12601616582574590
13096401110041195,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/13096401110041195.png,13096401110041195
7688062326801110,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7688062326801110.png,7688062326801110
10180970867072417,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/10180970867072417.png,10180970867072417
8458538657514638,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8458538657514638.png,8458538657514638
7699222799321358,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7699222799321358.png,7699222799321358
5024259185315229,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5024259185315229.png,5024259185315229
5035464754987766,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5035464754987766.png,5035464754987766
12605917992321493,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/12605917992321493.png,12605917992321493
10186979526312790,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/10186979526312790.png,10186979526312790
506894187757803,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/506894187757803.png,506894187757803
523260160640576,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/523260160640576.png,523260160640576
8454213625455355,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8454213625455355.png,8454213625455355
5040627305677310,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5040627305677310.png,5040627305677310
153783451517088,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/153783451517088.png,153783451517088
140941499302045,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/140941499302045.png,140941499302045
536046278280247,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/536046278280247.png,536046278280247
9710109307438002,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/9710109307438002.png,9710109307438002
8453358926955635,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8453358926955635.png,8453358926955635
154745524191413,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/154745524191413.png,154745524191413
155482111082700,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/155482111082700.png,155482111082700
10180934359843840,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/10180934359843840.png,10180934359843840
12599928660428975,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/12599928660428975.png,12599928660428975
5041479856685723,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5041479856685723.png,5041479856685723
9733400915083818,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/9733400915083818.png,9733400915083818
802473837068588,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/802473837068588.png,802473837068588
7709517835928270,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7709517835928270.png,7709517835928270
9725639909185994,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/9725639909185994.png,9725639909185994
807486063904103,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/807486063904103.png,807486063904103
5028564890026314,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5028564890026314.png,5028564890026314
517236469007260,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/517236469007260.png,517236469007260
7691509038056694,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7691509038056694.png,7691509038056694
8452635224966927,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8452635224966927.png,8452635224966927
7700910721467281,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7700910721467281.png,7700910721467281
7701737502671523,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7701737502671523.png,7701737502671523
8443145494725497,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8443145494725497.png,8443145494725497
7700021663244437,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7700021663244437.png,7700021663244437
8460344691262018,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8460344691262018.png,8460344691262018
8454295229827569,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/8454295229827569.png,8454295229827569
5020874751082944,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5020874751082944.png,5020874751082944
7707915813126791,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7707915813126791.png,7707915813126791
5042512796320089,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/5042512796320089.png,5042512796320089
7688178290918304,https://lsst.ncsa.illinois.edu/~ebellm/zooniverse/images/7688178290918304.png,7688178290918304
